Event,Column 1,Column 2,Column 3,Column 4,Column 5
Event 138712468,,,,,
Event 138712481,,,,,
Event 138712459,,,,,
Event 138712494,,,,,
Event 138712447,,,,,
Event 138712475,2.34804,,,,
Event 138712514,,,,,
Event 138712526,,,,,
Event 138712483,,,,,
Event 138712542,,,,,
Event 138712537,,,,,
Event 138712467,-0.207223,,,,
Event 138712541,,,,,
Event 138712484,,,,,
Event 138712543,,,,,
Event 138712562,,,,,
Event 138712510,-1.69375,,,,
Event 138712544,,,,,
Event 138712482,,,,,
Event 138712561,,,,,
Event 138712566,,,,,
Event 138712580,,,,,
Event 138712532,,,,,
Event 138712594,,,,,
Event 138712584,,,,,
Event 138712602,,,,,
Event 138712598,,,,,
Event 138712556,,,,,
Event 138712600,,,,,
Event 138712599,,,,,
Event 138712595,-1.18662,,,,
Event 138712575,,,,,
Event 138712563,-0.319118,,,,
Event 138712603,,,,,
Event 138712614,,,,,
Event 138712618,,,,,
Event 138712606,,,,,
Event 138712631,,,,,
Event 138712625,,,,,
Event 138712615,0.178998,,,,
Event 138712607,,,,,
Event 138712577,,,,,
Event 138712642,-1.5574,,,,
Event 138712589,,,,,
Event 138712639,,,,,
Event 138712652,,,,,
Event 138712650,,,,,
Event 138712662,-0.673542,,,,
Event 138712653,,,,,
Event 138712656,0.667548,,,,
Event 138712641,-0.382433,,,,
Event 138712622,,,,,
Event 138712689,,,,,
Event 138712626,,,,,
Event 138712672,,,,,
Event 138712648,,,,,
Event 138712697,,,,,
Event 138712705,,,,,
Event 138712720,,,,,
Event 138712692,,,,,
Event 138712694,0.00261022,,,,
Event 138712729,0.458036,,,,
Event 138712710,,,,,
Event 138712685,-0.395552,,,,
Event 138712691,,,,,
Event 138712716,0.0823265,,,,
Event 138712738,,,,,
Event 138712730,,,,,
Event 138712760,-0.911385,,,,
Event 138712754,,,,,
Event 138712687,,,,,
Event 138712756,,,,,
Event 138712728,,,,,
Event 138712777,,,,,
Event 138712770,,,,,
Event 138712791,,,,,
Event 138712731,,,,,
Event 138712782,,,,,
Event 138712778,,,,,
Event 138712745,,,,,
Event 138712788,,,,,
Event 138712795,,,,,
Event 138712764,,,,,
Event 138712808,,,,,
Event 138712751,,,,,
Event 138712772,,,,,
Event 138712826,,,,,
Event 138712828,,,,,
Event 138712816,,,,,
Event 138712843,,,,,
Event 138712769,,,,,
Event 138712858,,,,,
Event 138712840,,,,,
Event 138712874,,,,,
Event 138712844,,,,,
Event 138712824,1.16995,,,,
Event 138712859,,,,,
Event 138712845,,,,,
Event 138712885,,,,,
Event 138712860,,,,,
Event 138712884,,,,,
Event 138712849,,,,,
Event 138712809,-0.430234,,,,
Event 138712855,,,,,
Event 138712894,,,,,
Event 138712929,,,,,
Event 138712905,-1.06782,,,,
Event 138712908,,,,,
Event 138712892,,,,,
Event 138712928,,,,,
Event 138712900,,,,,
Event 138712931,,,,,
Event 138712901,,,,,
Event 138712787,,,,,
Event 138712945,,,,,
Event 138712962,,,,,
Event 138712947,,,,,
Event 138712932,,,,,
Event 138712957,-0.208877,,,,
Event 138712946,,,,,
Event 138712969,-0.409925,,,,
Event 138712974,,,,,
Event 138712927,,,,,
Event 138712984,,,,,
Event 138712971,,,,,
Event 138713006,,,,,
Event 138712955,,,,,
Event 138712978,,,,,
Event 138713009,,,,,
Event 138712996,,,,,
Event 138713004,,,,,
Event 138712896,0.651955,,,,
Event 138712893,,,,,
Event 138713023,,,,,
Event 138712973,,,,,
Event 138713033,,,,,
Event 138712995,,,,,
Event 138713014,,,,,
Event 138713047,,,,,
Event 138713038,,,,,
Event 138713046,,,,,
Event 138713026,,,,,
Event 138713028,-0.520735,,,,
Event 138713016,,,,,
Event 138713060,,,,,
Event 138713051,,,,,
Event 138713055,1.40972,,,,
Event 138713072,2.11504,,,,
Event 138713092,,,,,
Event 138713063,,,,,
Event 138713086,,,,,
Event 138712990,,,,,
Event 138713064,0.0297692,,,,
Event 138713021,,,,,
Event 138713115,,,,,
Event 138713085,,,,,
Event 138713082,,,,,
Event 138713077,,,,,
Event 138713123,,,,,
Event 138713136,,,,,
Event 138713139,,,,,
Event 138713067,,,,,
Event 138713125,,,,,
Event 138713087,,,,,
Event 138713089,,,,,
Event 138713143,,,,,
Event 138713156,,,,,
Event 138713168,,,,,
Event 138713117,,,,,
Event 138713142,,,,,
Event 138713119,,,,,
Event 138713150,,,,,
Event 138713183,2.32658,,,,
Event 138713184,,,,,
Event 138713200,,,,,
Event 138713124,,,,,
Event 138713186,,,,,
Event 138713178,0.249823,,,,
Event 138713202,,,,,
Event 138713197,,,,,
Event 138713179,,,,,
Event 138713162,-0.984427,,,,
Event 138713212,,,,,
Event 138713219,,,,,
Event 138713174,,,,,
Event 138713207,,,,,
Event 138713220,,,,,
Event 138713246,,,,,
Event 138713208,,,,,
Event 138713237,,,,,
Event 138713222,,,,,
Event 138713242,0.771766,,,,
Event 138713255,-0.141782,,,,
Event 138713236,,,,,
Event 138713245,,,,,
Event 138713235,-0.921519,,,,
Event 138713240,,,,,
Event 138713221,,,,,
Event 138713265,,,,,
Event 138713271,0.187607,,,,
Event 138713281,,,,,
Event 138713258,,,,,
Event 138713301,,,,,
Event 138713252,,,,,
Event 138713278,,,,,
Event 138713287,,,,,
Event 138713305,1.11751,,,,
Event 138713303,,,,,
Event 138713309,,,,,
Event 138713268,,,,,
Event 138713314,,,,,
Event 138713254,,,,,
Event 138713345,,,,,
Event 138713325,,,,,
Event 138713112,,,,,
Event 138713324,,,,,
Event 138713277,0.212687,,,,
Event 138713344,,,,,
Event 138713327,,,,,
Event 138713352,,,,,
Event 138713312,1.96034,,,,
Event 138713304,,,,,
Event 138713288,,,,,
Event 138713375,0.808653,,,,
Event 138713384,,,,,
Event 138713357,,,,,
Event 138713390,,,,,
Event 138713383,0.511106,,,,
Event 138713389,,,,,
Event 138713393,,,,,
Event 138713406,,,,,
Event 138713409,,,,,
Event 138713355,-0.461065,,,,
Event 138713400,,,,,
Event 138713405,1.66993,,,,
Event 138713407,-1.09691,,,,
Event 138713328,,,,,
Event 138713424,0.323337,,,,
Event 138713436,-0.715066,,,,
Event 138713386,0.12633,,,,
Event 138713425,,,,,
Event 138713426,0.246971,,,,
Event 138713417,,,,,
Event 138713438,,,,,
Event 138713444,,,,,
Event 138713462,1.92682,,,,
Event 138713465,,,,,
Event 138713451,,,,,
Event 138713408,,,,,
Event 138713469,,,,,
Event 138713453,,,,,
Event 138713480,2.01152,,,,
Event 138713478,,,,,
Event 138713434,0.418725,,,,
Event 138713510,-0.94019,,,,
Event 138713494,,,,,
Event 138713500,,,,,
Event 138713486,,,,,
Event 138713531,,,,,
Event 138713534,,,,,
Event 138713516,-0.632243,,,,
Event 138713446,,,,,
Event 138713513,,,,,
Event 138713537,,,,,
Event 138713427,,,,,
Event 138713544,,,,,
Event 138713551,,,,,
Event 138713496,,,,,
Event 138713514,,,,,
Event 138713569,0.78741,,,,
Event 138713532,2.02305,,,,
Event 138713565,,,,,
Event 138713567,-0.0985077,,,,
Event 138713580,,,,,
Event 138713581,,,,,
Event 138713558,,,,,
Event 138713572,,,,,
Event 138713539,0.204031,,,,
Event 138713573,,,,,
Event 138713546,,,,,
Event 138713582,-1.04483,,,,
Event 138713598,,,,,
Event 138713605,,,,,
Event 138713590,,,,,
Event 138713612,,,,,
Event 138713594,,,,,
Event 138713639,1.21379,,,,
Event 138713583,-1.98156,,,,
Event 138713634,,,,,
Event 138713653,,,,,
Event 138713628,,,,,
Event 138713629,,,,,
Event 138713610,,,,,
Event 138713604,,,,,
Event 138713680,,,,,
Event 138713658,,,,,
Event 138713686,,,,,
Event 138713615,,,,,
Event 138713664,,,,,
Event 138713657,,,,,
Event 138713682,,,,,
Event 138713713,,,,,
Event 138713725,,,,,
Event 138713720,,,,,
Event 138713645,,,,,
Event 138713711,-0.498197,,,,
Event 138713676,,,,,
Event 138713741,,,,,
Event 138713755,,,,,
Event 138713693,,,,,
Event 138713788,-0.698006,,,,
Event 138713753,0.035136,,,,
Event 138713732,,,,,
Event 138713779,,,,,
Event 138713775,,,,,
Event 138713737,,,,,
Event 138713756,,,,,
Event 138713697,,,,,
Event 138713800,,,,,
Event 138713747,1.0324,,,,
Event 138713759,-1.02002,,,,
Event 138713828,,,,,
Event 138713845,,,,,
Event 138713816,,,,,
Event 138713826,,,,,
Event 138713843,,,,,
Event 138713811,,,,,
Event 138713782,,,,,
Event 138713760,,,,,
Event 138713852,,,,,
Event 138713855,,,,,
Event 138713869,-1.54544,,,,
Event 138713870,,,,,
Event 138713862,,,,,
Event 138713872,,,,,
Event 138713889,,,,,
Event 138713859,,,,,
Event 138713832,-0.694166,,,,
Event 138713837,,,,,
Event 138713888,-0.928538,,,,
Event 138713873,-1.14042,,,,
Event 138713874,,,,,
Event 138713892,,,,,
Event 138713901,,,,,
Event 138713729,0.33983,,,,
Event 138713909,,,,,
Event 138713903,,,,,
Event 138713912,,,,,
Event 138713880,,,,,
Event 138713896,,,,,
Event 138713914,,,,,
Event 138713928,,,,,
Event 138713918,,,,,
Event 138713945,,,,,
Event 138713931,-0.215436,,,,
Event 138713934,,,,,
Event 138713879,-0.403452,,,,
Event 138713955,,,,,
Event 138713966,,,,,
Event 138713968,,,,,
Event 138713973,,,,,
Event 138713940,,,,,
Event 138713963,,,,,
Event 138713829,,,,,
Event 138713916,1.01603,,,,
Event 138713982,,,,,
Event 138713992,,,,,
Event 138714045,,,,,
Event 138714022,,,,,
Event 138714001,,,,,
Event 138713986,-1.19073,,,,
Event 138714027,,,,,
Event 138714035,,,,,
Event 138714043,,,,,
Event 138714072,,,,,
Event 138714018,,,,,
Event 138714068,,,,,
Event 138714069,,,,,
Event 138714070,,,,,
Event 138713972,,,,,
Event 138714084,,,,,
Event 138714053,-0.591691,,,,
Event 138714083,,,,,
Event 138714111,,,,,
Event 138713993,,,,,
Event 138714058,,,,,
Event 138714114,,,,,
Event 138714085,,,,,
Event 138714110,,,,,
Event 138714076,,,,,
Event 138714124,,,,,
Event 138714120,,,,,
Event 138714113,,,,,
Event 138714026,,,,,
Event 138714145,0.584597,,,,
Event 138714138,,,,,
Event 138714146,,,,,
Event 138714136,-1.17868,,,,
Event 138714152,,,,,
Event 138714155,,,,,
Event 138714143,1.16601,,,,
Event 138714172,,,,,
Event 138714144,-0.152644,,,,
Event 138714153,-1.3667,,,,
Event 138714199,1.20044,,,,
Event 138714162,,,,,
Event 138714200,,,,,
Event 138714154,,,,,
Event 138714194,,,,,
Event 138714128,,,,,
Event 138714151,,,,,
Event 138714234,-0.168017,,,,
Event 138714195,,,,,
Event 138714227,,,,,
Event 138714245,,,,,
Event 138714206,-2.04977,,,,
Event 138714263,,,,,
Event 138714239,,,,,
Event 138714273,,,,,
Event 138714287,-1.13544,,,,
Event 138714253,,,,,
Event 138714309,,,,,
Event 138714333,,,,,
Event 138714223,,,,,
Event 138714259,,,,,
Event 138714305,,,,,
Event 138714265,,,,,
Event 138714246,1.43046,,,,
Event 138714320,-1.80816,,,,
Event 138714292,,,,,
Event 138714344,,,,,
Event 138714313,1.39974,,,,
Event 138714341,,,,,
Event 138714312,,,,,
Event 138714357,,,,,
Event 138714340,,,,,
Event 138714343,,,,,
Event 138714311,,,,,
Event 138714390,,,,,
Event 138714388,,,,,
Event 138714348,,,,,
Event 138714362,0.635393,,,,
Event 138714395,,,,,
Event 138714403,,,,,
Event 138714369,,,,,
Event 138714392,,,,,
Event 138714414,,,,,
Event 138714380,,,,,
Event 138714404,-0.0742967,,,,
Event 138714444,,,,,
Event 138714427,,,,,
Event 138714425,,,,,
Event 138714391,,,,,
Event 138714430,,,,,
Event 138714443,,,,,
Event 138714431,0.818853,,,,
Event 138714481,,,,,
Event 138714456,0.740757,,,,
Event 138714473,,,,,
Event 138714500,,,,,
Event 138714400,-0.526215,,,,
Event 138714441,-0.610108,,,,
Event 138714477,,,,,
Event 138714466,-1.55738,,,,
Event 138714508,,,,,
Event 138714356,,,,,
Event 138714505,,,,,
Event 138714421,,,,,
Event 138714539,,,,,
Event 138714521,,,,,
Event 138714528,,,,,
Event 138714498,,,,,
Event 138714526,,,,,
Event 138714509,,,,,
Event 138714489,,,,,
Event 138714518,,,,,
Event 138714565,,,,,
Event 138714529,,,,,
Event 138714579,,,,,
Event 138714540,,,,,
Event 138714531,,,,,
Event 138714584,,,,,
Event 138714555,,,,,
Event 138714558,-0.120036,,,,
Event 138714585,,,,,
Event 138714582,,,,,
Event 138714576,,,,,
Event 138714562,2.2228,,,,
Event 138714610,,,,,
Event 138714609,,,,,
Event 138714597,-1.27524,,,,
Event 138714544,,,,,
Event 138714590,,,,,
Event 138714622,,,,,
Event 138714598,,,,,
Event 138714616,-1.36342,,,,
Event 138714593,-0.137286,,,,
Event 138714629,,,,,
Event 138714615,,,,,
Event 138714573,0.797879,,,,
Event 138714618,,,,,
Event 138714631,0.400922,,,,
Event 138714569,,,,,
Event 138714627,,,,,
Event 138714680,-0.643263,,,,
Event 138714642,1.01309,,,,
Event 138714644,,,,,
Event 138714667,,,,,
Event 138714649,,,,,
Event 138714643,,,,,
Event 138714665,-2.28544,,,,
Event 138714683,,,,,
Event 138714682,,,,,
Event 138714706,,,,,
Event 138714641,,,,,
Event 138714693,,,,,
Event 138714730,,,,,
Event 138714714,,,,,
Event 138714681,,,,,
Event 138714735,,,,,
Event 138714687,,,,,
Event 138714721,,,,,
Event 138714727,,,,,
Event 138714720,,,,,
Event 138714742,-0.380945,,,,
Event 138714737,2.15731,,,,
Event 138714736,-1.58983,,,,
Event 138714725,,,,,
Event 138714743,,,,,
Event 138714701,2.11402,,,,
Event 138714765,,,,,
Event 138714748,,,,,
Event 138714750,,,,,
Event 138714739,,,,,
Event 138714770,-2.25867,,,,
Event 138714779,,,,,
Event 138714768,,,,,
Event 138714759,,,,,
Event 138714752,,,,,
Event 138714787,-0.44408,,,,
Event 138714802,,,,,
Event 138714757,,,,,
Event 138714793,-1.26077,,,,
Event 138714824,,,,,
Event 138714808,0.00473869,,,,
Event 138714792,,,,,
Event 138714814,1.20402,,,,
Event 138714819,0.742401,,,,
Event 138714822,,,,,
Event 138714827,,,,,
Event 138714815,,,,,
Event 138714812,,,,,
Event 138714826,,,,,
Event 138714755,-1.04779,,,,
Event 138714825,,,,,
Event 138714831,,,,,
Event 138714845,,,,,
Event 138714799,,,,,
Event 138714844,,,,,
Event 138714851,0.0235317,,,,
Event 138714857,,,,,
Event 138714852,,,,,
Event 138714861,-0.960955,,,,
Event 138714873,-1.57155,,,,
Event 138714850,,,,,
Event 138714894,,,,,
Event 138714869,,,,,
Event 138714882,,,,,
Event 138714876,1.057,,,,
Event 138714887,,,,,
Event 138714908,,,,,
Event 138714885,,,,,
Event 138714867,,,,,
Event 138714881,0.770045,,,,
Event 138714896,0.770058,,,,
Event 138714913,,,,,
Event 138714919,,,,,
Event 138714934,,,,,
Event 138714937,0.329597,,,,
Event 138714931,,,,,
Event 138714933,,,,,
Event 138714952,,,,,
Event 138714895,-2.15539,,,,
Event 138714938,2.03511,,,,
Event 138714943,,,,,
Event 138714963,,,,,
Event 138714978,,,,,
Event 138715000,0.451807,,,,
Event 138714966,,,,,
Event 138714917,,,,,
Event 138714992,,,,,
Event 138714990,,,,,
Event 138714941,,,,,
Event 138715016,,,,,
Event 138715006,,,,,
Event 138715004,,,,,
Event 138715001,,,,,
Event 138715025,0.720644,,,,
Event 138715020,,,,,
Event 138715003,,,,,
Event 138714970,,,,,
Event 138715007,,,,,
Event 138715049,-1.64134,,,,
Event 138715058,-1.05529,,,,
Event 138715019,,,,,
Event 138715026,,,,,
Event 138715060,,,,,
Event 138715052,-0.240393,,,,
Event 138715012,-0.914233,,,,
Event 138715035,,,,,
Event 138715061,,,,,
Event 138715070,,,,,
Event 138715062,,,,,
Event 138715082,,,,,
Event 138715057,,,,,
Event 138715048,,,,,
Event 138715065,,,,,
Event 138715095,0.881432,,,,
Event 138715073,,,,,
Event 138715068,,,,,
Event 138715094,,,,,
Event 138715102,0.454656,,,,
Event 138715090,,,,,
Event 138715116,-0.556915,,,,
Event 138715112,,,,,
Event 138715053,,,,,
Event 138715081,,,,,
Event 138715108,,,,,
Event 138715113,1.2314,,,,
Event 138715119,,,,,
Event 138715083,0.0739786,,,,
Event 138715146,,,,,
Event 138715123,,,,,
Event 138715143,,,,,
Event 138715128,-0.702569,,,,
Event 138715130,,,,,
Event 138715118,,,,,
Event 138715154,,,,,
Event 138715157,,,,,
Event 138715151,,,,,
Event 138715132,-0.605804,,,,
Event 138715139,,,,,
Event 138715147,,,,,
Event 138715192,0.0478653,,,,
Event 138715175,,,,,
Event 138715178,,,,,
Event 138715131,,,,,
Event 138715150,,,,,
Event 138715197,,,,,
Event 138715160,,,,,
Event 138715162,,,,,
Event 138715189,,,,,
Event 138715184,,,,,
Event 138715193,,,,,
Event 138715198,1.08144,,,,
Event 138715212,,,,,
Event 138715227,,,,,
Event 138715235,,,,,
Event 138715223,,,,,
Event 138715213,,,,,
Event 138715248,0.593317,,,,
Event 138715233,,,,,
Event 138715249,,,,,
Event 138715239,,,,,
Event 138715215,,,,,
Event 138715257,,,,,
Event 138715260,,,,,
Event 138715272,-0.332777,,,,
Event 138715269,,,,,
Event 138715273,,,,,
Event 138715266,,,,,
Event 138715229,,,,,
Event 138715292,0.30408,,,,
Event 138715296,-0.785096,,,,
Event 138715313,,,,,
Event 138715286,,,,,
Event 138715283,-0.0670965,,,,
Event 138715303,-1.25059,,,,
Event 138715318,,,,,
Event 138715315,,,,,
Event 138715350,,,,,
Event 138715325,,,,,
Event 138715332,,,,,
Event 138715367,,,,,
Event 138715319,,,,,
Event 138715320,,,,,
Event 138715382,,,,,
Event 138715360,,,,,
Event 138715381,,,,,
Event 138715368,,,,,
Event 138715388,,,,,
Event 138715293,,,,,
Event 138715392,,,,,
Event 138715429,,,,,
Event 138715419,,,,,
Event 138715432,,,,,
Event 138715424,,,,,
Event 138715387,-0.987279,,,,
Event 138715447,,,,,
Event 138715335,-0.643897,,,,
Event 138715436,,,,,
Event 138715383,,,,,
Event 138715410,,,,,
Event 138715430,,,,,
Event 138715439,,,,,
Event 138715452,,,,,
Event 138715435,,,,,
Event 138715463,-0.88619,,,,
Event 138715431,,,,,
Event 138715453,,,,,
Event 138715503,0.799818,,,,
Event 138715481,-0.250302,,,,
Event 138715474,,,,,
Event 138715518,,,,,
Event 138715498,,,,,
Event 138715512,,,,,
Event 138715527,,,,,
Event 138715471,,,,,
Event 138715466,,,,,
Event 138715523,2.07902,,,,
Event 138715533,,,,,
Event 138715544,,,,,
Event 138715555,,,,,
Event 138715560,,,,,
Event 138715535,0.361735,,,,
Event 138715558,0.509173,,,,
Event 138715566,,,,,
Event 138715458,,,,,
Event 138715556,,,,,
Event 138715534,,,,,
Event 138715563,0.151357,,,,
Event 138715572,,,,,
Event 138715552,,,,,
Event 138715478,,,,,
Event 138715577,,,,,
Event 138715564,,,,,
Event 138715587,,,,,
Event 138715606,,,,,
Event 138715567,,,,,
Event 138715585,,,,,
Event 138715603,,,,,
Event 138715537,,,,,
Event 138715600,,,,,
Event 138715626,,,,,
Event 138715618,0.0973968,,,,
Event 138715602,,,,,
Event 138715631,,,,,
Event 138715574,,,,,
Event 138715622,-2.27841,,,,
Event 138715635,,,,,
Event 138715638,,,,,
Event 138715637,,,,,
Event 138715613,,,,,
Event 138715644,,,,,
Event 138715641,,,,,
Event 138715608,,,,,
Event 138715645,,,,,
Event 138715660,0.748966,,,,
Event 138715647,2.04013,,,,
Event 138715657,1.50253,,,,
Event 138715665,,,,,
Event 138715672,,,,,
Event 138715648,,,,,
Event 138715653,,,,,
Event 138715667,,,,,
Event 138715673,,,,,
Event 138715677,,,,,
Event 138715680,,,,,
Event 138715646,,,,,
Event 138715633,,,,,
Event 138715699,,,,,
Event 138715674,-0.416645,,,,
Event 138715708,,,,,
Event 138715706,0.882993,,,,
Event 138715702,,,,,
Event 138715686,,,,,
Event 138715721,,,,,
Event 138715707,,,,,
Event 138715724,,,,,
Event 138715711,0.828609,,,,
Event 138715738,,,,,
Event 138715723,,,,,
Event 138715752,,,,,
Event 138715726,,,,,
Event 138715739,,,,,
Event 138715740,,,,,
Event 138715744,,,,,
Event 138715762,,,,,
Event 138715712,,,,,
Event 138715747,-0.417604,,,,
Event 138715760,,,,,
Event 138715732,,,,,
Event 138715791,,,,,
Event 138715783,,,,,
Event 138715777,,,,,
Event 138715805,,,,,
Event 138715755,,,,,
Event 138715759,0.305005,,,,
Event 138715810,,,,,
Event 138715808,,,,,
Event 138715827,,,,,
Event 138715794,,,,,
Event 138715811,,,,,
Event 138715809,1.26169,,,,
Event 138715824,,,,,
Event 138715796,,,,,
Event 138715860,,,,,
Event 138715750,,,,,
Event 138715859,,,,,
Event 138715826,,,,,
Event 138715867,,,,,
Event 138715864,,,,,
Event 138715773,,,,,
Event 138715788,,,,,
Event 138715873,,,,,
Event 138715869,,,,,
Event 138715858,,,,,
Event 138715884,,,,,
Event 138715894,,,,,
Event 138715782,-0.344075,,,,
Event 138715863,,,,,
Event 138715886,,,,,
Event 138715878,,,,,
Event 138715903,,,,,
Event 138715910,,,,,
Event 138715895,,,,,
Event 138715904,,,,,
Event 138715920,,,,,
Event 138715818,1.95897,,,,
Event 138715913,,,,,
Event 138715888,,,,,
Event 138715881,,,,,
Event 138715923,,,,,
Event 138715947,,,,,
Event 138715909,,,,,
Event 138715906,,,,,
Event 138715918,,,,,
Event 138715958,,,,,
Event 138715932,,,,,
Event 138715969,,,,,
Event 138715928,,,,,
Event 138715959,,,,,
Event 138715921,-0.919902,,,,
Event 138715963,,,,,
Event 138715980,,,,,
Event 138715938,,,,,
Event 138715993,-2.01997,,,,
Event 138715943,,,,,
Event 138715972,,,,,
Event 138716010,,,,,
Event 138715914,,,,,
Event 138716017,,,,,
Event 138715939,,,,,
Event 138716027,,,,,
Event 138716016,,,,,
Event 138715979,,,,,
Event 138716006,1.32408,,,,
Event 138716028,,,,,
Event 138716007,,,,,
Event 138716048,,,,,
Event 138716029,,,,,
Event 138716072,-0.283498,,,,
Event 138716038,,,,,
Event 138716063,,,,,
Event 138716049,,,,,
Event 138716076,,,,,
Event 138716056,,,,,
Event 138716071,,,,,
Event 138715949,-0.621217,,,,
Event 138716094,,,,,
Event 138716088,0.397113,,,,
Event 138716108,,,,,
Event 138715967,,,,,
Event 138716091,,,,,
Event 138716066,,,,,
Event 138716089,,,,,
Event 138716115,,,,,
Event 138716123,,,,,
Event 138716090,,,,,
Event 138716119,,,,,
Event 138716129,,,,,
Event 138716130,,,,,
Event 138716103,,,,,
Event 138716118,,,,,
Event 138716087,,,,,
Event 138716121,1.63583,,,,
Event 138716114,,,,,
Event 138716142,,,,,
Event 138716150,2.02244,,,,
Event 138716112,,,,,
Event 138716163,,,,,
Event 138716152,-0.484768,,,,
Event 138716157,,,,,
Event 138716156,,,,,
Event 138716146,,,,,
Event 138716124,,,,,
Event 138716167,,,,,
Event 138716213,,,,,
Event 138716187,,,,,
Event 138716192,,,,,
Event 138716215,,,,,
Event 138716220,,,,,
Event 138716229,,,,,
Event 138716206,,,,,
Event 138716132,,,,,
Event 138716235,,,,,
Event 138716245,,,,,
Event 138716200,,,,,
Event 138716186,,,,,
Event 138716177,-0.386154,,,,
Event 138716254,,,,,
Event 138716172,,,,,
Event 138716237,,,,,
Event 138716257,-0.13367,,,,
Event 138716221,1.9324,,,,
Event 138716234,,,,,
Event 138716251,0.743882,,,,
Event 138716232,1.00743,,,,
Event 138716253,,,,,
Event 138716256,,,,,
Event 138716208,-0.452136,,,,
Event 138716252,,,,,
Event 138716259,-0.257618,,,,
Event 138716270,,,,,
Event 138716273,,,,,
Event 138716286,,,,,
Event 138716276,,,,,
Event 138716272,,,,,
Event 138716287,0.627243,,,,
Event 138716306,,,,,
Event 138716228,0.990323,,,,
Event 138716303,,,,,
Event 138716260,,,,,
Event 138716267,,,,,
Event 138716302,1.28414,,,,
Event 138716285,,,,,
Event 138716348,,,,,
Event 138716307,-0.617298,,,,
Event 138716319,,,,,
Event 138716313,-2.10831,,,,
Event 138716318,,,,,
Event 138716288,,,,,
Event 138716275,,,,,
Event 138716340,,,,,
Event 138716362,,,,,
Event 138716328,,,,,
Event 138716370,0.57194,,,,
Event 138716352,,,,,
Event 138716388,,,,,
Event 138716387,,,,,
Event 138716327,,,,,
Event 138716365,,,,,
Event 138716323,,,,,
Event 138716375,,,,,
Event 138716381,,,,,
Event 138716398,,,,,
Event 138716347,,,,,
Event 138716399,,,,,
Event 138716389,,,,,
Event 138716431,,,,,
Event 138716397,,,,,
Event 138716390,0.565514,,,,
Event 138716409,,,,,
Event 138716427,-2.18221,,,,
Event 138716378,1.42997,,,,
Event 138716436,-0.525585,,,,
Event 138716413,,,,,
Event 138716440,,,,,
Event 138716449,,,,,
Event 138716377,,,,,
Event 138716454,,,,,
Event 138716447,,,,,
Event 138716469,,,,,
Event 138716452,,,,,
Event 138716492,,,,,
Event 138716441,,,,,
Event 138716495,,,,,
Event 138716493,-0.119721,,,,
Event 138716490,,,,,
Event 138716494,,,,,
Event 138716395,,,,,
Event 138716456,,,,,
Event 138716488,,,,,
Event 138716518,1.22876,,,,
Event 138716479,-0.181901,,,,
Event 138716496,-1.41667,,,,
Event 138716513,,,,,
Event 138716499,2.14058,,,,
Event 138716524,,,,,
Event 138716498,,,,,
Event 138716508,,,,,
Event 138716445,-1.3361,,,,
Event 138716530,-0.0309265,,,,
Event 138716532,,,,,
Event 138716562,0.125439,,,,
Event 138716543,,,,,
Event 138716533,,,,,
Event 138716560,-1.79706,,,,
Event 138716569,,,,,
Event 138716545,,,,,
Event 138716576,,,,,
Event 138716580,,,,,
Event 138716544,,,,,
Event 138716585,,,,,
Event 138716579,,,,,
Event 138716583,,,,,
Event 138716606,,,,,
Event 138716623,,,,,
Event 138716602,,,,,
Event 138716536,,,,,
Event 138716624,,,,,
Event 138716598,,,,,
Event 138716600,,,,,
Event 138716613,0.409122,,,,
Event 138716547,-1.12096,,,,
